Date,Open,High,Low,Close,Adj Close,Volume,Day
9/20/2013,48.525002,48.525002,46.66,46.665001,41.649731,66400,0
9/23/2013,46.5,46.875,46.084999,46.310001,41.332893,41800,1
9/24/2013,46.185001,46.630001,46.084999,46.395,41.60685,74800,2
9/25/2013,47.165001,47.165001,46.189999,46.189999,41.423016,39000,3
9/26/2013,46.25,46.555,46.25,46.474998,41.678585,23200,4
9/27/2013,46.299999,46.41,46.134998,46.365002,41.579941,72600,5
9/30/2013,45.935001,46.205002,45.775002,45.945,41.203281,59800,6
10/1/2013,45.93,46.419998,45.93,46.365002,41.579941,121200,7
10/2/2013,46.16,46.16,45.744999,46.009998,41.261585,126200,8
10/3/2013,46.025002,46.025002,45.040001,45.325001,40.647274,101600,9
10/4/2013,45.25,45.605,45.25,45.52,40.822151,81000,10
10/7/2013,45.095001,45.650002,45.049999,45.439999,40.750397,24600,11
10/8/2013,45.325001,45.494999,44.860001,44.935001,40.297527,30000,12
10/9/2013,44.939999,45.005001,44.509998,44.77,40.149551,173000,13
10/10/2013,45.380001,46.154999,45.330002,46.154999,41.391621,124800,14
10/11/2013,46.189999,46.5,46.049999,46.48,41.683083,48200,15
10/14/2013,46.130001,46.715,46.080002,46.674999,41.857948,23000,16
10/15/2013,46.91,46.91,45.959999,45.970001,41.225697,39800,17
10/16/2013,46.244999,46.41,46.110001,46.330002,41.548557,154400,18
10/17/2013,46.424999,47.040001,46.244999,46.974998,42.126987,112400,19
10/18/2013,47.119999,47.310001,46.974998,47.305,42.422928,96200,20
10/21/2013,47.549999,47.549999,46.834999,46.900002,42.059734,58800,21
10/22/2013,47.105,47.445,47.064999,47.18,42.310825,110800,22
10/23/2013,47.455002,47.945,47.299999,47.945,42.996887,128800,23
10/24/2013,48.110001,48.305,47.93,48.290001,43.30629,63200,24
10/25/2013,48.290001,48.525002,48.130001,48.525002,43.517014,37400,25
10/28/2013,48.73,48.73,48.174999,48.259998,43.279373,35000,26
10/29/2013,48.564999,48.595001,48.200001,48.595001,43.579796,44000,27
10/30/2013,48.674999,48.825001,48.290001,48.43,43.43182,223200,28
10/31/2013,48.5,48.82,48.294998,48.439999,43.440788,37200,29
11/1/2013,48.439999,48.935001,48.384998,48.724998,43.696381,155200,30
11/4/2013,48.970001,49.075001,48.855,49.035,43.974396,91600,31
11/5/2013,48.875,49.294998,48.720001,49.139999,44.068542,75000,32
11/6/2013,49.259998,49.490002,49.064999,49.380001,44.283791,475800,33
11/7/2013,49.57,49.625,48.695,48.720001,43.691906,95200,34
11/8/2013,48.830002,49.48,48.755001,49.48,44.373455,47600,35
11/11/2013,49.685001,49.685001,49.215,49.355,44.261349,97000,36
11/12/2013,49.400002,49.400002,49.084999,49.259998,44.17617,42000,37
11/13/2013,49.25,49.605,49,49.605,44.485554,67600,38
11/14/2013,49.674999,49.810001,49.505001,49.779999,44.642509,106800,39
11/15/2013,49.884998,49.884998,49.540001,49.855,44.709766,55600,40
11/18/2013,50.134998,50.595001,50.115002,50.154999,44.978798,176200,41
11/19/2013,50.240002,50.314999,49.900002,50.035,44.871181,50200,42
11/20/2013,49.904999,50.169998,49.720001,49.805,44.664913,39000,43
11/21/2013,50,50.490002,49.955002,50.41,45.207478,48600,44
11/22/2013,50.485001,51.055,50.485001,51.035,45.767971,128400,45
11/25/2013,51.290001,51.395,50.775002,50.98,45.718651,60200,46
11/26/2013,51.25,51.529999,50.974998,51.375,46.072899,60600,47
11/27/2013,51.544998,51.855,51.535,51.814999,46.46748,71000,48
11/29/2013,52.235001,52.5,51.535,51.535,46.21637,187600,49
12/2/2013,51.715,51.785,51.099998,51.215,45.929405,140600,50
12/3/2013,51.119999,51.23,50.715,50.875,45.624485,44200,51
12/4/2013,50.755001,50.884998,49.945,50.380001,45.18058,95600,52
12/5/2013,50.23,50.59,50.205002,50.419998,45.216442,24400,53
12/6/2013,50.855,51.080002,50.849998,51.080002,45.808331,47200,54
12/9/2013,51.369999,51.369999,50.939999,50.990002,45.727619,50400,55
12/10/2013,50.884998,51.169998,50.744999,50.825001,45.579651,88400,56
12/11/2013,50.93,50.93,50.029999,50.110001,44.938442,45800,57
12/12/2013,50.119999,50.41,50.075001,50.314999,45.122288,174600,58
12/13/2013,50.400002,50.494999,50.224998,50.389999,45.189545,58400,59
12/16/2013,50.869999,51.185001,50.580002,50.974998,45.714176,77400,60
12/17/2013,51.369999,51.369999,50.974998,51.095001,45.821793,141400,61
12/18/2013,51.349998,51.790001,50.615002,51.790001,46.445068,74400,62
12/19/2013,51.73,51.794998,51.375,51.48,46.167049,247400,63
12/20/2013,51.59,52.459999,51.564999,52.334999,46.933826,101000,64
12/23/2013,52.540001,52.540001,52.290001,52.314999,47.050728,64000,65
12/24/2013,52.345001,52.619999,52.345001,52.59,47.298054,17800,66
12/26/2013,52.744999,53.095001,52.744999,53.035,47.698292,63600,67
12/27/2013,53.240002,53.240002,52.695,52.764999,47.455448,431600,68
12/30/2013,52.855,52.855,52.5,52.630001,47.334061,61000,69
12/31/2013,52.790001,52.970001,52.740002,52.84,47.522903,66600,70
1/2/2014,52.84,52.84,52.165001,52.259998,47.001266,140200,71
1/3/2014,52.41,52.724998,52.314999,52.494999,47.21262,67000,72
1/6/2014,52.845001,52.845001,52.325001,52.419998,47.145164,80600,73
1/7/2014,52.619999,53.049999,52.575001,52.814999,47.500423,82000,74
1/8/2014,52.900002,53.115002,52.57,53.044998,47.707272,91800,75
1/9/2014,53.334999,53.599998,53.154999,53.474998,48.094009,116800,76
1/10/2014,53.639999,53.720001,53.294998,53.720001,48.314358,69000,77
1/13/2014,53.849998,54.09,53.299999,53.435001,48.058033,162400,78
1/14/2014,53.654999,53.785,53.384998,53.744999,48.336842,57400,79
1/15/2014,53.790001,54.365002,53.764999,54.174999,48.723564,128200,80
1/16/2014,54.169998,54.330002,54.080002,54.285,48.822495,129400,81
1/17/2014,54.290001,54.384998,54.075001,54.195,48.741562,105000,82
1/21/2014,54.720001,54.935001,54.299999,54.435001,48.957394,236200,83
1/22/2014,54.869999,55.294998,54.674999,55.244999,49.685898,122800,84
1/23/2014,55.189999,55.189999,54.369999,54.52,49.033844,195000,85
1/24/2014,54.130001,54.18,52.674999,52.674999,47.3745,258600,86
1/27/2014,52.645,53.029999,52.259998,52.650002,47.35202,370200,87
1/28/2014,52.830002,53,52.709999,52.955002,47.626331,263200,88
1/29/2014,52.77,52.77,51.82,52.029999,46.794407,154400,89
1/30/2014,52.445,52.654999,52.105,52.285,47.023762,69400,90
1/31/2014,51.860001,52.990002,51.5,52.619999,47.32505,154000,91
2/3/2014,52.875,52.880001,50.98,51.055,45.917534,223600,92
2/4/2014,51.105,51.415001,50.459999,51.169998,46.02095,244600,93
2/5/2014,51.174999,51.27,50.290001,51.16,46.011951,74200,94
2/6/2014,51.279999,51.610001,51.105,51.415001,46.241306,50800,95
2/7/2014,51.735001,52.5,51.695,52.404999,47.13168,63400,96
2/10/2014,52.48,52.48,51.959999,52.16,46.911335,98800,97
2/11/2014,52.305,52.959999,52.174999,52.825001,47.509407,117600,98
2/12/2014,52.945,53.220001,52.945,53.185001,47.833187,73600,99
2/13/2014,53.105,53.630001,52.73,53.529999,48.143475,63600,100
2/14/2014,53.5,53.950001,53.150002,53.915001,48.489735,69800,101
2/18/2014,53.98,54.235001,53.849998,54.205002,48.750538,124800,102
2/19/2014,54,54.470001,53.595001,53.669998,48.269379,335600,103
2/20/2014,53.935001,54.525002,53.674999,54.43,48.952915,74200,104
2/21/2014,54.630001,54.630001,54.235001,54.360001,48.889957,86800,105
2/24/2014,54.599998,55.384998,54.445,54.875,49.353123,119800,106
2/25/2014,54.810001,55.025002,54.27,54.384998,48.912437,194400,107
2/26/2014,54.459999,54.485001,54.014999,54.139999,48.692085,120000,108
2/27/2014,54.084999,54.764999,54.084999,54.75,49.240707,102200,109
2/28/2014,54.865002,55.205002,54.52,54.82,49.303658,74000,110
3/3/2014,54.465,55.025002,54.290001,54.84,49.321659,141000,111
3/4/2014,55.974998,56.084999,55.575001,55.924999,50.297485,388400,112
3/5/2014,56.27,56.27,55.865002,55.869999,50.248001,109400,113
3/6/2014,56.16,56.16,55.735001,55.889999,50.265995,80200,114
3/7/2014,56.185001,56.25,55.764999,55.880001,50.257004,89600,115
3/10/2014,55.849998,55.849998,55.264999,55.505001,49.919739,55200,116
3/11/2014,55.939999,55.939999,54.735001,54.82,49.303658,71200,117
3/12/2014,54.544998,54.779999,54.290001,54.744999,49.23621,63000,118
3/13/2014,54.965,55.075001,53.810001,53.98,48.548187,86600,119
3/14/2014,53.869999,54.514999,53.869999,54.075001,48.633614,41800,120
3/17/2014,54.32,54.825001,54.32,54.650002,49.150772,53600,121
3/18/2014,54.700001,55.32,54.700001,55.02,49.48354,80000,122
3/19/2014,55.145,55.195,54.134998,54.470001,48.988884,72800,123
3/20/2014,54.48,54.720001,54.220001,54.490002,49.006866,73800,124
3/21/2014,54.73,54.849998,54.23,54.23,48.773045,92400,125
3/24/2014,54.285,54.490002,53.575001,54.014999,48.579666,47800,126
3/25/2014,54.470001,54.485001,54.009998,54.255001,48.890564,82000,127
3/26/2014,54.860001,54.860001,53.665001,53.665001,48.358883,100800,128
3/27/2014,53.450001,53.665001,53.080002,53.27,48.002941,108200,129
3/28/2014,53.334999,54.035,53.334999,53.66,48.354389,52800,130
3/31/2014,54.029999,54.66,53.974998,54.580002,49.183422,108400,131
4/1/2014,54.654999,55.299999,54.654999,55.264999,49.800694,81200,132
4/2/2014,55.48,55.619999,55.310001,55.57,50.075531,64200,133
4/3/2014,55.549999,55.630001,55.205002,55.404999,49.926849,37800,134
4/4/2014,55.57,55.674999,54.075001,54.075001,48.728336,128000,135
4/7/2014,53.974998,54.23,53.09,53.299999,48.029987,88000,136
4/8/2014,53.189999,53.209999,52.625,53.009998,47.76865,216200,137
4/9/2014,53.474998,53.98,53.084999,53.945,48.611206,71600,138
4/10/2014,53.955002,53.955002,52.544998,52.630001,47.42625,44600,139
4/11/2014,52.389999,52.705002,51.900002,52.049999,46.903572,137200,140
4/14/2014,52.380001,52.59,51.98,52.415001,47.232487,51200,141
4/15/2014,52.415001,53.040001,51.935001,53.040001,47.795692,59200,142
4/16/2014,53.215,53.830002,53.18,53.825001,48.503075,65800,143
4/17/2014,53.915001,54.564999,53.790001,54.445,49.061775,56800,144
4/21/2014,54.544998,54.650002,54.185001,54.514999,49.124847,273200,145
4/22/2014,54.810001,54.98,54.330002,54.330002,48.958141,103200,146
4/23/2014,54.5,54.945,54.375,54.884998,49.458252,68400,147
4/24/2014,55.09,55.09,53.935001,54.32,48.949131,115800,148
4/25/2014,54.165001,54.165001,53.555,53.59,48.291306,58000,149
4/28/2014,53.869999,54.115002,52.849998,53.349998,48.075031,51400,150
4/29/2014,53.84,54.174999,53.720001,54.025002,48.683292,52000,151
4/30/2014,53.860001,54.349998,53.654999,54.34,48.967163,139800,152
5/1/2014,54.345001,54.68,53.965,54.174999,48.818462,143800,153
5/2/2014,54.16,54.849998,54.16,54.544998,49.151878,58200,154
5/5/2014,54.514999,55.279999,54.310001,55.169998,49.715088,71800,155
5/6/2014,55.16,55.200001,54.490002,54.490002,49.102314,59600,156
5/7/2014,54.794998,54.955002,54.139999,54.91,49.480797,47000,157
5/8/2014,54.959999,55.255001,54.610001,54.709999,49.300556,53600,158
5/9/2014,54.5,54.965,54.400002,54.805,49.386173,48600,159
5/12/2014,55.369999,55.794998,55.07,55.625,50.125103,200400,160
5/13/2014,55.740002,55.959999,55.540001,55.625,50.125103,97400,161
5/14/2014,55.695,55.695,54.755001,54.860001,49.435741,51000,162
5/15/2014,54.849998,54.849998,53.845001,54.005001,48.665279,81600,163
5/16/2014,54.235001,54.43,53.549999,53.865002,48.53912,52800,164
5/19/2014,53.900002,54.244999,53.665001,54.029999,48.687798,56200,165
5/20/2014,53.950001,53.994999,53.009998,53.185001,47.92635,52200,166
5/21/2014,53.435001,53.630001,53.224998,53.459999,48.174168,53400,167
5/22/2014,53.66,53.84,53.5,53.744999,48.430984,30200,168
5/23/2014,53.775002,54.294998,53.775002,54.224998,48.863529,239800,169
5/27/2014,54.560001,54.639999,54.310001,54.634998,49.232979,123000,170
5/28/2014,54.564999,54.919998,54.485001,54.5,49.111328,330000,171
5/29/2014,54.705002,54.869999,54.494999,54.834999,49.413212,40400,172
5/30/2014,54.900002,54.98,54.709999,54.959999,49.525848,31600,173
6/2/2014,54.904999,55.294998,54.639999,55.235001,49.773651,53600,174
6/3/2014,55.244999,55.299999,54.945,55.189999,49.733101,30200,175
6/4/2014,55.125,55.355,55.075001,55.355,49.88179,137800,176
6/5/2014,55.355,56.215,55.355,56.215,50.656761,54200,177
6/6/2014,56.25,56.650002,56.25,56.625,51.02623,45000,178
6/9/2014,56.689999,57.209999,56.529999,57.095001,51.449768,1748200,179
6/10/2014,57.044998,57.044998,56.435001,56.709999,51.102814,94600,180
6/11/2014,56.494999,56.514999,55.93,56.055,50.512589,155200,181
6/12/2014,55.889999,55.955002,55.215,55.360001,49.886299,81000,182
6/13/2014,55.375,55.674999,55.25,55.494999,50.007957,29200,183
